day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2024-12-16,-0.6467800298702958,1.0,,1.0,1.0
2024-12-17,0.32332686546127903,0.5240490253806975,0.14032262070281712,0.7647267834398165,7.0
2024-12-18,0.3069268133493791,0.8049315868744924,-0.18860544799105447,0.8003081112475994,10.0
2024-12-22,-0.9833728561542698,0.835188838217597,-0.4249728924352398,0.08279087777187516,4.0
2024-12-25,-1.125343633958703,0.5623224326992973,-0.3333333333333333,1.0,2.0
2024-12-26,0.5565840690185766,1.0,-0.408248290463863,1.0,1.0
2024-12-29,-0.3425385519999602,1.2898112968673408,1.3503348685700933,1.4587601185517065,3.0
2024-12-30,0.300467397545773,0.5322367887117281,0.9562960652968121,1.3524068651867784,3.0
2025-01-02,-0.18389272265278225,0.1873893944098153,0.8445482733905724,1.6657761430987597,2.0
2025-01-03,0.028317533628175073,0.8113699632746361,-0.47079267198619296,0.03334584975506612,2.0
2025-01-07,0.025250619040189753,0.813365167690901,-0.16380621324439257,0.6981552648311548,31.0
2025-01-08,-0.0805304367800929,1.0584447001992803,0.37743312483987507,1.5469821267179367,7.0
2025-01-09,-0.5458994886570543,1.0302300618787896,0.41301627151022546,1.7261022075993195,2.0
2025-01-10,-0.9062331623070659,0.2816072288069109,-0.4472135954999579,1.0,2.0
2025-01-12,0.3215374928178689,0.5452773168455282,-0.408248290463863,1.0,2.0
2025-01-13,1.5236746469128144,0.6510372289568827,-0.5590653920196746,1.0,2.0
2025-01-14,-0.3926935220071681,1.0,-0.4472135954999579,1.0,1.0
2025-01-15,-0.1921920030038598,1.0,-0.6708203932499369,1.0,1.0
2025-01-16,0.11688122630801256,1.6301979392379033,-0.5773502691896257,1.0,2.0
2025-01-17,-0.4372951647294301,1.0,0.4472135954999578,1.0,1.0
2025-01-19,1.2146860426596546,1.0,-0.7479251120072106,1.0,1.0
2025-01-20,-0.7550278649922,0.4418881782065665,0.7487305307288478,1.0,2.0
2025-01-21,1.2357885098787633,0.19181855244353302,-0.4249728924352398,0.08279087777187516,3.0
2025-01-26,-0.1921920030038598,1.0,1.5652475842498528,1.0,1.0
2025-01-27,-0.21785714285714283,1.0,0.0,1.0,1.0
2025-01-29,-0.56852126902326,1.3793197632994882,-0.07956969778936998,0.9761738797031928,4.0
